iter	Passed	Remaining
446	1179	1458
447	1181	1456
448	1184	1453
449	1187	1451
450	1189	1448
451	1192	1445
452	1196	1444
453	1198	1441
454	1201	1439
455	1204	1436
456	1207	1434
457	1210	1432
458	1213	1429
459	1216	1427
460	1218	1424
461	1221	1422
462	1223	1419
463	1226	1416
464	1229	1414
465	1232	1412
466	1234	1409
467	1237	1406
468	1239	1403
469	1241	1400
470	1244	1397
471	1246	1394
472	1248	1391
473	1250	1388
474	1253	1384
475	1255	1382
476	1257	1378
477	1259	1375
478	1261	1372
479	1264	1369
480	1266	1366
481	1268	1363
482	1270	1360
483	1273	1357
484	1275	1354
485	1277	1351
486	1279	1348
487	1282	1345
488	1284	1342
489	1286	1339
490	1289	1336
491	1291	1333
492	1293	1330
493	1295	1327
494	1297	1324
495	1300	1321
496	1302	1318
497	1304	1315
498	1306	1312
499	1309	1309
500	1311	1306
501	1313	1303
502	1316	1300
503	1318	1297
504	1320	1294
505	1323	1291
506	1325	1288
507	1328	1286
508	1331	1284
509	1334	1281
510	1336	1279
511	1338	1276
512	1342	1274
513	1345	1272
514	1348	1270
515	1351	1267
516	1353	1264
517	1356	1261
518	1359	1260
519	1362	1257
520	1365	1255
521	1367	1252
522	1370	1249
523	1372	1247
524	1376	1245
525	1378	1242
526	1381	1239
527	1383	1236
528	1385	1233
529	1388	1231
530	1391	1228
531	1393	1225
532	1395	1223
533	1398	1220
534	1401	1217
535	1403	1215
536	1406	1212
537	1409	1210
538	1411	1207
539	1414	1205
540	1419	1204
541	1423	1203
542	1427	1201
543	1429	1198
544	1432	1195
545	1434	1192
546	1437	1190
547	1439	1187
548	1442	1185
549	1445	1182
550	1448	1180
551	1450	1177
552	1455	1176
553	1457	1173
554	1460	1171
555	1462	1168
556	1466	1165
557	1468	1163
558	1471	1160
559	1473	1158
560	1477	1155
561	1479	1153
562	1483	1151
563	1485	1148
564	1489	1146
565	1492	1144
566	1495	1141
567	1497	1139
568	1500	1136
569	1502	1133
570	1505	1131
571	1508	1128
572	1511	1126
573	1513	1123
574	1516	1120
575	1518	1118
576	1522	1115
577	1524	1113
578	1527	1110
579	1530	1108
580	1533	1105
581	1535	1103
582	1539	1101
583	1542	1098
584	1544	1095
585	1547	1093
586	1550	1091
587	1552	1088
588	1556	1085
589	1558	1083
590	1561	1080
591	1564	1077
592	1566	1075
593	1569	1072
594	1571	1069
595	1574	1067
596	1577	1064
597	1579	1062
598	1582	1059
599	1585	1056
600	1587	1054
601	1590	1051
602	1592	1048
603	1595	1046
604	1597	1043
605	1600	1040
606	1602	1037
607	1604	1034
608	1607	1032
609	1609	1029
610	1612	1026
611	1615	1023
612	1617	1021
613	1620	1018
614	1622	1015
615	1625	1013
616	1627	1010
617	1630	1007
618	1632	1004
619	1635	1002
620	1637	999
621	1640	997
622	1643	994
623	1645	991
624	1648	988
625	1650	986
626	1652	983
627	1654	980
628	1657	977
629	1659	974
630	1662	972
631	1664	969
632	1666	966
633	1669	963
634	1671	961
635	1675	958
636	1677	955
637	1679	953
638	1682	950
639	1684	947
640	1687	944
641	1689	941
642	1692	939
643	1694	936
644	1697	934
645	1699	931
646	1701	928
647	1704	925
648	1706	923
649	1709	920
650	1711	917
651	1714	915
652	1717	912
653	1719	909
654	1722	907
655	1724	904
656	1727	901
657	1730	899
658	1732	896
659	1735	893
660	1737	891
661	1740	888
662	1743	885
663	1745	883
664	1748	880
665	1750	878
666	1753	875
667	1756	872
668	1758	870
669	1761	867
670	1763	864
671	1766	862
672	1768	859
673	1771	856
674	1773	854
675	1776	851
676	1778	848
677	1781	845
678	1783	843
679	1785	840
680	1788	837
681	1790	834
682	1793	832
683	1795	829
684	1797	826
685	1800	824
686	1802	821
687	1805	818
688	1808	816
689	1810	813
690	1812	810
691	1815	808
692	1817	805
693	1820	802
694	1822	799
695	1825	797
696	1827	794
697	1830	792
698	1833	789
699	1836	786
700	1838	784
701	1840	781
702	1842	778
703	1845	775
704	1847	773
705	1850	770
706	1852	767
707	1854	764
708	1856	762
709	1858	759
710	1861	756
711	1863	753
712	1865	751
713	1868	748
714	1870	745
715	1872	742
716	1875	740
717	1877	737
718	1879	734
719	1882	731
720	1884	729
721	1886	726
722	1889	723
723	1891	721
724	1893	718
725	1896	715
726	1898	712
727	1900	710
728	1903	707
729	1905	704
730	1908	702
731	1910	699
732	1913	696
733	1915	694
734	1917	691
735	1920	688
736	1922	685
737	1925	683
738	1927	680
739	1930	678
740	1933	675
741	1935	673
742	1937	670
743	1940	667
744	1942	664
745	1944	662
746	1947	659
747	1949	656
748	1951	654
749	1953	651
750	1956	648
751	1958	645
752	1960	643
753	1962	640
754	1966	638
755	1969	635
756	1971	632
757	1973	630
758	1976	627
759	1979	625
760	1982	622
761	1984	619
762	1987	617
763	1989	614
764	1991	611
765	1993	608
766	1995	606
767	1997	603
768	1999	600
769	2001	597
770	2003	595
771	2006	592
772	2008	589
773	2010	587
774	2013	584
775	2015	581
776	2018	579
777	2021	576
778	2023	574
779	2026	571
780	2028	568
781	2031	566
782	2033	563
783	2036	560
784	2038	558
785	2041	555
786	2044	553
787	2046	550
788	2048	547
789	2051	545
790	2053	542
791	2055	539
792	2058	537
793	2060	534
794	2063	532
795	2065	529
796	2068	526
797	2070	524
798	2073	521
799	2075	518
800	2078	516
801	2080	513
802	2082	510
803	2084	508
804	2086	505
805	2089	502
806	2091	500
807	2094	497
808	2096	494
809	2098	492
810	2101	489
811	2103	487
812	2106	484
813	2108	481
814	2111	479
815	2113	476
816	2115	473
817	2118	471
818	2121	468
819	2124	466
820	2126	463
821	2129	461
822	2131	458
823	2134	455
824	2136	453
825	2138	450
826	2141	447
827	2143	445
828	2146	442
829	2149	440
830	2151	437
831	2154	434
832	2156	432
833	2159	429
834	2161	427
835	2164	424
836	2166	421
837	2169	419
838	2171	416
839	2174	414
840	2176	411
841	2178	408
842	2181	406
843	2183	403
844	2186	401
845	2188	398
846	2190	395
847	2192	393
848	2195	390
849	2197	387
850	2199	385
851	2201	382
852	2204	379
853	2206	377
854	2208	374
855	2211	371
856	2213	369
857	2215	366
858	2218	364
859	2220	361
860	2222	358
861	2225	356
862	2227	353
863	2229	351
864	2232	348
865	2234	345
866	2236	343
867	2238	340
868	2241	337
869	2243	335
870	2245	332
871	2248	330
872	2250	327
873	2253	324
874	2255	322
875	2257	319
876	2260	316
877	2262	314
878	2264	311
879	2267	309
880	2269	306
881	2271	303
882	2273	301
883	2275	298
884	2278	296
885	2280	293
886	2282	290
887	2284	288
888	2287	285
889	2289	282
890	2291	280
891	2294	277
892	2297	275
893	2299	272
894	2301	270
895	2303	267
896	2306	264
897	2308	262
898	2311	259
899	2313	257
900	2316	254
901	2318	251
902	2324	249
903	2326	247
904	2328	244
905	2331	241
906	2333	239
907	2335	236
908	2338	234
909	2340	231
910	2342	228
911	2344	226
912	2347	223
913	2349	221
914	2351	218
915	2354	215
916	2356	213
917	2358	210
918	2360	208
919	2363	205
920	2365	202
921	2367	200
922	2369	197
923	2372	195
924	2374	192
925	2376	189
926	2378	187
927	2381	184
928	2383	182
929	2385	179
930	2387	176
931	2390	174
932	2392	171
933	2394	169
934	2396	166
935	2399	164
936	2401	161
937	2403	158
938	2405	156
939	2408	153
940	2410	151
941	2412	148
942	2415	145
943	2417	143
944	2419	140
945	2421	138
946	2423	135
947	2426	133
948	2428	130
949	2430	127
950	2433	125
951	2435	122
952	2438	120
953	2440	117
954	2442	115
955	2445	112
956	2447	109
957	2449	107
958	2452	104
959	2454	102
960	2457	99
961	2459	97
962	2461	94
963	2464	92
964	2466	89
965	2468	86
966	2471	84
967	2474	81
968	2476	79
969	2478	76
970	2481	74
971	2483	71
972	2485	68
973	2488	66
974	2491	63
975	2493	61
976	2495	58
977	2498	56
978	2500	53
979	2503	51
980	2506	48
981	2508	45
982	2511	43
983	2514	40
984	2516	38
985	2519	35
986	2521	33
987	2523	30
988	2526	28
989	2528	25
990	2531	22
991	2533	20
992	2536	17
993	2538	15
994	2540	12
995	2542	10
996	2545	7
997	2547	5
998	2549	2
999	2552	0
